,std_AP_COM,std_ML_COM,std_vertical_COM,std_AP_vCOM,std_ML_vCOM,std_vertical_vCOM,max_AP_vCOM,max_ML_vCOM,std_vertical_aCOM,max_ML_aCOM,max_AP_aCOM,SS_duration_ratio,DS_duration_ratio,std_length,std_width,max_clearance,std_AP_COP,std_ML_COP,std_ML_vCOP,max_ML_vCOP,std_AP_vCOP,max_AP_vCOP,std_AP_aCOP,std_ML_aCOP,std_AP_xCOM,std_ML_xCOM,std_vertical_xCOM,mean_AP_MOS,mean_ML_MOS,std_AP_MOS,std_ML_MOS,mean_ML_SS_MOS,mean_ML_DS_MOS,max_ML_MOS,min_AP_MOS,min_ML_MOS,ROM_ML_MOS,mean_AP_IA,mean_ML_IA,std_AP_IA,std_ML_IA,target_performance
10,193.386,11.4011,13.1371,161.5297,315.0008,332.2506,2532.4576,502.6086,8958.7079,7393.5936,7492.6752,0.65138,0.34862,207.7633,27.5633,112.5036,0.14868,0.047625,3.2207,5.8315,6.9809,12.6561,3686.8292,1654.9813,0.18277,0.043057,0.049633,-180.1642,0.56218,87.6629,73.3715,-42.8986,81.7653,112.2789,-394.2066,-111.9336,224.2125,0.040282,-4.647,5.8474,2.2863,Good
11,195.8428,17.0966,12.4269,181.0451,288.8542,304.0428,2507.6224,558.3111,7971.0022,4748.9045,11081.3298,0.81081,0.18919,205.4636,32.3641,137.8954,0.15584,0.053488,3.4353,31.068,7.9969,12.1999,4332.6453,1835.3447,0.18197,0.030867,0.044753,-231.4385,-10.392,126.5608,50.8909,-31.7339,81.0732,102.3102,-527.4675,-91.3303,193.6406,0.062329,3.9077,6.396,2.3636,Good
12,197.9317,12.9961,12.1534,240.7457,185.432,282.4145,1657.4351,111.9585,6803.8891,6450.4134,56805.4755,0.83784,0.16216,204.513,25.4867,111.3776,0.0321,0.023541,1.4016,1.5272,1.9227,2.104,919.2693,676.856,0.17587,0.017838,0.03995,-292.0463,-3.5878,188.2496,48.2044,-16.4303,62.7651,96.1972,-772.3111,-123.4354,219.6326,10.7399,1.8337,0.47513,1.6168,Good
13,173.5901,6.8327,10.7886,232.6141,233.8377,307.7311,3208.5682,447.5754,7314.7608,8856.9221,28403.25,0.89,0.11,195.8876,24.4123,126.0096,0.052391,0.0042216,0.28007,2.4718,0.69242,5.9919,1351.1455,543.6066,0.15141,0.034943,0.045809,-211.8168,-25.2461,109.4593,47.9005,-38.0111,78.0336,103.5302,-452.9743,-98.2693,201.7995,1.7276,-4.3248,7.1209,0.34961,Good
14,197.1618,14.8725,13.8998,176.5264,264.284,339.6653,3071.907,503.652,9003.3713,3630.3053,11592.7108,0.80508,0.19492,210.828,21.1547,112.7481,0.14599,0.043185,2.2848,15.4082,5.5447,38.4508,2426.921,977.9414,0.19185,0.027519,0.049199,-232.653,-2.3361,135.4505,45.4202,-15.3135,51.2661,107.145,-553.0621,-109.0298,216.1748,-1.138,3.3712,6.2154,1.8471,Good
15,197.9609,10.9906,11.6824,209.9796,239.7621,302.3621,3247.8446,356.144,7990.6013,10131.0806,10453.8687,0.67273,0.32727,211.0389,16.225,127.7352,0.17518,0.045072,2.5841,3.2208,8.4306,76.6292,4351.3072,1321.3701,0.1774,0.028052,0.042856,-244.0284,-6.9655,206.3147,72.5992,-40.8349,62.6551,118.3895,-829.6418,-117.9266,236.3161,-0.50471,-3.7644,7.056,2.1292,Good
16,199.2711,10.3587,11.5544,141.9244,295.6281,299.4554,3072.447,410.1336,7193.9521,4039.8204,8210.3689,0.65766,0.34234,204.0364,22.0622,113.4525,0.14591,0.040157,3.2719,27.7862,8.2693,71.3268,4147.2791,1619.2226,0.19449,0.040115,0.042754,-238.0865,-3.8091,177.1477,70.3877,-43.5383,72.5128,103.3146,-768.1305,-119.302,222.6165,-0.2902,4.0653,6.8641,1.9629,Good
17,212.1721,15.0438,13.6227,259.1407,252.8536,333.6392,2327.5861,475.9108,8205.858,10411.1004,14486.172,0.90435,0.095652,219.543,18.8321,154.1386,0.056641,0.0084454,0.19805,0.68536,0.40427,0.61138,55.3782,36.8343,0.20148,0.026979,0.047388,-267.5929,-12.2954,152.8546,40.4604,-22.39,83.1443,109.3737,-620.4441,-83.9365,193.3102,-2.6247,4.0716,9.1058,0.47559,Good
18,208.786,11.4723,12.3226,216.9261,223.3819,311.6664,2705.6949,281.498,7565.6894,7350.9041,10499.462,0.71171,0.28829,218.8323,15.7855,126.5292,0.18963,0.044906,2.8326,4.4698,8.8833,14.3721,4831.0549,1510.7472,0.18864,0.02476,0.044592,-235.581,-1.7561,120.7529,55.4022,-23.523,51.9809,106.4302,-553.0596,-103.7286,210.1588,-0.23109,-3.5649,7.2,2.1299,Good
19,200.0927,8.6942,12.1934,235.7535,246.9938,306.6276,2573.3205,345.8883,8231.359,4120.9681,11439.9605,0.8125,0.1875,211.872,19.5955,136.8506,0.1749,0.040497,2.6678,25.0329,9.1558,7.3076,5164.9008,1502.2331,0.17606,0.033852,0.044073,-228.8537,-19.873,119.4426,49.6096,-32.7517,35.9345,102.9455,-509.6966,-104.3035,207.249,-0.60689,3.1492,6.8531,1.9983,Good
