,std_AP_COM,std_ML_COM,std_vertical_COM,std_AP_vCOM,std_ML_vCOM,std_vertical_vCOM,max_AP_vCOM,max_ML_vCOM,std_vertical_aCOM,max_ML_aCOM,max_AP_aCOM,SS_duration_ratio,DS_duration_ratio,std_length,std_width,max_clearance,std_AP_COP,std_ML_COP,std_ML_vCOP,max_ML_vCOP,std_AP_vCOP,max_AP_vCOP,std_AP_aCOP,std_ML_aCOP,std_AP_xCOM,std_ML_xCOM,std_vertical_xCOM,mean_AP_MOS,mean_ML_MOS,std_AP_MOS,std_ML_MOS,mean_ML_SS_MOS,mean_ML_DS_MOS,max_ML_MOS,min_AP_MOS,min_ML_MOS,ROM_ML_MOS,mean_AP_IA,mean_ML_IA,std_AP_IA,std_ML_IA,target_performance
10,194.0015,10.2114,11.2661,147.4884,286.8012,289.9995,2521.4953,445.8385,13632.2546,51756.2578,43042.4174,0.65138,0.34862,207.7633,27.5633,112.5036,0.14868,0.047625,3.2207,5.8315,6.9809,12.6561,3686.8292,1654.9813,0.18278,0.039205,0.043196,-180.2727,0.96432,92.1899,77.6536,-47.5441,91.5985,119.1307,-394.2376,-112.2863,231.4171,0.036835,-4.7737,5.874,2.326,Good
11,196.4337,15.8834,10.5184,166.8051,266.2047,262.2834,2437.1593,611.3981,16544.2916,114604.0303,91808.6677,0.81081,0.18919,205.4636,32.3641,137.8954,0.15584,0.053488,3.4353,31.068,7.9969,12.1999,4332.6453,1835.3447,0.18256,0.027979,0.03856,-231.3616,-12.363,128.1844,52.4129,-35.0695,84.951,106.7153,-522.5225,-84.8562,191.5715,0.054498,4.0211,6.4246,2.4037,Good
12,193.2763,12.3079,10.4898,172.4515,174.7601,249.8048,2400.0393,151.4286,12092.4544,67066.1909,58100.212,0.83784,0.16216,204.513,25.4867,111.3776,0.0321,0.023541,1.4016,1.5272,1.9227,2.104,919.2693,676.856,0.1778,0.017168,0.035463,-286.5672,-6.0741,181.8552,48.6001,-18.0315,55.7058,102.033,-774.5103,-130.7882,232.8212,10.724,1.8532,0.472,1.6344,Good
13,169.3089,6.284,9.1816,156.1297,217.2004,270.5973,3189.4168,412.876,12649.8427,87134.3366,102868.7772,0.89,0.11,195.8876,24.4123,126.0096,0.052391,0.0042216,0.28007,2.4718,0.69242,5.9919,1351.1455,543.6066,0.15646,0.032705,0.040001,-205.4871,-25.2909,116.7942,51.2037,-41.0389,102.1244,109.7806,-451.18,-102.6991,212.4797,1.5521,-4.4185,6.8697,0.29324,Good
14,198.2048,13.8974,11.8638,151.6901,245.5871,297.4802,3031.6672,508.253,13173.1021,67203.9696,78281.6511,0.80508,0.19492,210.828,21.1547,112.7481,0.14599,0.043185,2.2848,15.4082,5.5447,38.4508,2426.921,977.9414,0.19245,0.025341,0.04293,-233.5844,-1.242,137.584,47.125,-17.9878,67.9251,115.9985,-543.4839,-80.4423,196.4408,-1.1632,3.4702,6.2693,1.88,Good
15,198.1292,9.9579,9.8222,193.3738,219.6867,258.0157,3341.2408,330.8077,11729.2184,118812.6501,71539.2434,0.67273,0.32727,211.0389,16.225,127.7352,0.17518,0.045072,2.5841,3.2208,8.4306,76.6292,4351.3072,1321.3701,0.17881,0.025705,0.036633,-243.2893,-7.045,208.3506,75.1022,-44.3944,69.7285,127.8401,-834.5471,-119.1567,246.9968,-0.49272,-3.8538,7.0781,2.1634,Good
16,194.7933,9.0983,9.9291,155.5605,266.2466,263.3522,3215.546,429.8396,11301.6302,64797.5437,74343.8213,0.65766,0.34234,204.0364,22.0622,113.4525,0.14591,0.040157,3.2719,27.7862,8.2693,71.3268,4147.2791,1619.2226,0.1831,0.035759,0.037789,-226.0996,-2.3957,178.5807,73.3251,-45.7249,80.8421,108.0114,-790.2506,-122.7239,230.7353,-0.078747,4.144,6.6146,1.9873,Good
17,208.0105,13.5484,12.1161,179.2927,233.147,303.9553,2488.8419,490.5852,16721.4694,95180.06,129860.865,0.90435,0.095652,219.543,18.8321,154.1386,0.056641,0.0084454,0.19805,0.68536,0.40427,0.61138,55.3782,36.8343,0.19685,0.024132,0.042746,-267.5282,-15.604,153.332,38.8584,-25.6024,78.9256,119.7629,-618.5709,-79.7847,199.5476,-2.3973,4.1519,8.8659,0.38917,Good
18,209.0457,10.53,10.2857,194.4893,207.019,261.4224,2695.1406,245.1434,12049.1449,43342.9072,79621.5361,0.71171,0.28829,218.8323,15.7855,126.5292,0.18963,0.044906,2.8326,4.4698,8.8833,14.3721,4831.0549,1510.7472,0.18986,0.022991,0.03734,-234.7099,2.9128,124.1818,57.7708,-26.3514,75.1587,112.9535,-546.2129,-100.2415,213.195,-0.24472,-3.6466,7.2303,2.1569,Good
19,200.5395,7.8145,10.3593,220.659,227.9363,265.5058,2492.3212,380.3645,15394.3833,58375.2122,71049.4805,0.8125,0.1875,211.872,19.5955,136.8506,0.1749,0.040497,2.6678,25.0329,9.1558,7.3076,5164.9008,1502.2331,0.17734,0.031362,0.038231,-228.207,-21.3928,121.565,51.0225,-35.3395,39.0426,114.555,-506.5253,-93.9617,208.5167,-0.64542,3.2437,6.8823,2.031,Good
20,188.6034,12.5674,10.0695,161.9999,228.49,263.2665,2447.775,321.8279,13540.3277,55472.9095,123021.3226,0.81982,0.18018,203.4743,21.556,113.287,0.027463,0.019131,1.1341,2.1145,1.6261,3.0003,713.3953,504.1695,0.17411,0.023911,0.037862,-265.1029,-18.8478,179.0055,54.8695,-34.6084,52.863,100.5781,-760.9345,-129.6872,230.2653,11.236,1.8618,0.56769,1.1578,Good
